title,doi,target
"<i>N</i>,<i>N</i>-Diethyl-(<i>R</i>)-[3-(2-aminopropyl)-1<i>H</i>-indol-7-yloxy]acetamide:  Its Process Chemistry Ranging from Enantiocontrolled Construction of the Chiral Amine Side Chain to Regioselective Functionalization of the Aromatic Starting Materials",10.1021/op060210h,C1C=C(O)C2NC=CC=2C=1
"<i>N</i>,<i>N</i>-Diethyl-(<i>R</i>)-[3-(2-aminopropyl)-1<i>H</i>-indol-7-yloxy]acetamide:  Its Process Chemistry Ranging from Enantiocontrolled Construction of the Chiral Amine Side Chain to Regioselective Functionalization of the Aromatic Starting Materials",10.1021/op060210h,CC(N)CC1C2C=CC=C(OCC3C=CC=CC=3)C=2NC=1
"<i>N</i>,<i>N</i>-Diethyl-(<i>R</i>)-[3-(2-aminopropyl)-1<i>H</i>-indol-7-yloxy]acetamide:  Its Process Chemistry Ranging from Enantiocontrolled Construction of the Chiral Amine Side Chain to Regioselective Functionalization of the Aromatic Starting Materials",10.1021/op060210h,CC1C([N+]([O-])=O)=C(O)C=CC=1
"<i>N</i>,<i>N</i>-Diethyl-(<i>R</i>)-[3-(2-aminopropyl)-1<i>H</i>-indol-7-yloxy]acetamide:  Its Process Chemistry Ranging from Enantiocontrolled Construction of the Chiral Amine Side Chain to Regioselective Functionalization of the Aromatic Starting Materials",10.1021/op060210h,CCN(C(COC1C2NC=C(CC(N)=C)C=2C=CC=1)=O)CC
"A Concise Synthesis of Racemic 1-(6,7-Dimethoxy-2-naphthyl)-1-(1<i>H</i>-imidazol-4-yl)-2-methylpropan-1-ol for a Potent C<sub>17</sub>,<sub>20</sub>-Lyase Inhibitor",10.1021/op060171+,CC(C(O)(C1N=CNC=1)C1C=CC2C=C(OC)C=CC=2C=1)C
Upscaling the Solid-Phase Synthesis of a Tetrahydrocarbazole in Chemical Development,10.1021/op0502607,CC(C(NC(C(NC(NCCC1C=CC=CC=1)=O)1CC2C3C=CC=CC=3NC=2CC1)=O)C(N)=O)C
"Use of DOE for Rapid Development of a Red-Al Reduction Process for the Synthesis of 3,4-Isopropylidenedioxypyrrolidine Hydrotosylate",10.1021/op040204q,CC1(OC2C(CNC2)O1)C
"3,4,5-Tri-dodecyloxybenzoic Acid:  Optimisation and Scale-Up of the Synthesis",10.1021/op000066e,CCCCCCCCCCOC1C(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C(C(O)=O)C=1
"<i>N</i>(π)-2-Naphthylmethoxymethyl-Protected Histidines: Scalable, Racemization-Free Building Blocks for Peptide Synthesis",10.1021/acs.oprd.9b00538,CC(OC(NC(C(O)=O)CC1N(COCC2C=CC3C=CC=CC=3C=2)C=NC=1)=O)(C)C
A Concise and Efficient Synthesis of Dapagliflozin,10.1021/acs.oprd.9b00141,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl
A Combined High-Throughput Screening and Reaction Profiling Approach toward Development of a Tandem Catalytic Hydrogenation for the Synthesis of Salbutamol,10.1021/acs.oprd.7b00261,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
(Chloromethyl)dimethylchlorosilane–KF: A Two-Step Solution to the Selectivity Problem in the Methylation of a Pyrimidone Intermediate en Route to Raltegravir,10.1021/acs.oprd.7b00171,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F
A Chemoenzymatic Route to Chiral Intermediates Used in the Multikilogram Synthesis of a Gamma Secretase Inhibitor,10.1021/acs.oprd.7b00096,CCCC(NC1CC2C(=CC(F)=CC=2F)CC1)C(NC1N=CN(C(CNCC(C)(C)C)(C)C)C=1)=O
A Chlorine Gas-Free Synthesis of Dichloroglyoxime,10.1021/acs.oprd.6b00252,C(=N\\O)(\\Cl)/C(=N/O)/Cl
"Kinetic Research of <i>O</i>,<i>O</i>′-Dibenzoyltartaric Anhydride Synthesis: Tartaric Acid and Its <i>O-</i>Acyl Derivatives. Part 12",10.1021/acs.oprd.6b00147,C(C1C=CC=CC=1)(OC1C(=O)OC(=O)C1OC(C1C=CC=CC=1)=O)=O
"Development of an Enantioselective Novozym 435 Mediated Acetylation for the Preparation of (1<i>S</i>,3<i>R</i>)-3-Acetamidocyclohexane-1-carboxylic Acid",10.1021/acs.oprd.6b00146,CC(NC1CC(C(O)=O)CCC1)=O
"A Scalable Synthesis of 2-(1,2,4-Oxadiazol-3-yl)propan-2-amine Hydrobromide Using a Process Safety-Driven Protecting Group Strategy",10.1021/acs.oprd.6b00145,CC(N)(C1N=CON=1)C
Enabling the Scale-Up of a Key Asymmetric Hydrogenation Step in the Synthesis of an API Using Continuous Flow Solid-Supported Catalysis,10.1021/acs.oprd.6b00143,CC(NC(C)=O)C1N=CC(F)=CN=1
Concise Cu (I) Catalyzed Synthesis of Substituted Benzofurans via a Tandem SNAr/C–O Coupling Process,10.1021/acs.oprd.6b00141,CNC(C1C2C(=CC(N(S(C)(=O)=O)C)=C(Br)C=2)OC=1C1C=CC(F)=CC=1)=O
Two Approaches to the Chemical Development and Large-Scale Preparation of a Pyrimidyl Tetrazole Intermediate,10.1021/acs.oprd.6b00136,C1C(C(O)=O)C2C=NC(N3N=NN=C3)=NC=2C1
A Biocatalytic Route to the Novel Antiepileptic Drug Brivaracetam,10.1021/acs.oprd.6b00094,CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N
A Chemoenzymatic Synthesis of STING Agonist MK-2118,10.1021/acs.oprd.5c00448,C[C@@H](CC(=O)C1=CC2=CC(=C(C=C2S1)OC)OC)C(=O)O
A Concise Process to Lenacapavir Sodium: Demonstration of One-Pot Sequential Heck/Suzuki-Miyaura Couplings in Lenacapavir API Synthesis,10.1021/acs.oprd.5c00443,CC(S(C)(=O)=O)(C#CC1C=CC(C2C=CC(Cl)=C3C(NS(C)(=O)=O)=NN(CC(F)(F)F)C=23)=C([C@@H](NC(CN2N=C(C(F)(F)F)C3[C@@H]4[C@H](C(F)(F)C2=3)C4)=O)CC2C=C(F)C=C(F)C=2)N=1)C
A Concise Flow Synthesis of the IKZF2 Glue Degrader DKY709,10.1021/acs.oprd.4c00476,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)C4CCN(CC4)CC5=CC=CC=C5
A Chiral Pool Strategy for the Synthesis of a SMARCA2 Degrading PROTAC,10.1021/acs.oprd.4c00048,X
"1,2,3-Triazole Synthesis: Development of Safe and Effective Batch and Continuous Manufacturing Processes",10.1021/acs.oprd.4c00020,C1N=NNC=1
Scale-Up Synthesis of 1-Methyladamantane and Its Functionalization as a Key Point for Promising Antiviral Agents,10.1021/acs.oprd.2c00305,CC12CC(C(NC3CCC(N)CC3)=O)3CC(CC(C4C=CC=CC=4)(C3)C1)C2
Development of Commercial Manufacturing Processes for Acalabrutinib,10.1021/acs.oprd.2c00304,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5
Early Process Development and Scale-Up of Orally Active Apomorphine Drug Candidates,10.1021/acs.oprd.2c00297,Oc1c(Cl)cc(Cl)cc1S(=O)(=O)N(Cc1ccc(F)cc1)Cc1ccc(cc1)C(=O)N1CCCCC1
Toward the Development of a Manufacturing Process for the Insecticide Tyclopyrazoflor. Part I. Evaluation of Strategies using Ullmann Coupling of Pyrazole Derivatives,10.1021/acs.oprd.2c00296,CCN(C1=CN(N=C1Cl)C2=CN=CC=C2)C(=O)CCSCCC(F)(F)F
"Process Research for ZG1077, a KRAS G12C Inhibitor",10.1021/acs.oprd.2c00284,C[C@@H]1CN([C@H](CN1C(=O)C=C)C)C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CC=C5S(=O)(=O)C)C6CCC6
Commercially Viable Synthesis of Medetomidine Using a Classical Approach to the Imidazole Ring Formation,10.1021/acs.oprd.2c00273,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C
Commercially Viable Synthesis of Medetomidine Using a Classical Approach to the Imidazole Ring Formation,10.1021/acs.oprd.2c00273,CC1C(C)=C(Br)C=CC=1C(C1N=CNC=1)C
Commercially Viable Synthesis of Medetomidine Using a Classical Approach to the Imidazole Ring Formation,10.1021/acs.oprd.2c00273,CC1C(C)=C(C(C(CBr)=O)C)C=CC=1
Pd-Catalyzed Cyanation of a Bromoaryl Carboxylate En Route to Etrumadenant: Robust Process with Low Catalyst Loading Enabled by Preactivation,10.1021/acs.oprd.2c00272,CC1=C(C=CC=C1C2=CC(=NC(=N2)N)C3=CN(N=N3)CC4=NC(=CC=C4)C(C)(C)O)C#N
Enantioselective Synthesis of <i>trans</i>-Disubstituted Cyclopropyltrifluoroborate Building Blocks through Ru-Catalyzed Cyclopropanation,10.1021/acs.oprd.2c00265,C1C=C(C2C(CO)C2)C=NC=1
"Large-Scale Synthesis of Chiral Tetrahydropyran via Asymmetric Allylation Catalyzed by (<i>S</i>)-3,3′-Cl<sub>2</sub>-BINOL",10.1021/acs.oprd.2c00258,C(C)1C2N(C(C3C=C(C(O)4COCCC4)C=CC=3Cl)=NN=2)C2N=CC=CC=2N=1
"Safer and Convenient Synthesis of 3,4-Bis(4-nitro-1,2,5-oxadiazol-3-yl)-1,2,5-oxadiazole-2-oxide (BNFF/DNTF)",10.1021/acs.oprd.2c00250,C(C1C([N+]([O-])=O)=NON=1)1C(C2C([N+]([O-])=O)=NON=2)=[N+]([O-])ON=1
"Development of a Commercial Manufacturing Process for Sotorasib, a First-in-Class KRAS<sup>G12C</sup> Inhibitor",10.1021/acs.oprd.2c00249,C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C
"Development of an Efficient Process to Prepare Methyl 4,5,6-Trichloropicolinate Using Highly Selective C–H Borylation/Chlorodeborylation Reactions",10.1021/acs.oprd.2c00247,COC(C1N=C(Cl)C(Cl)=C(Cl)C=1)=O
Development of a Telescoped Alkylation/Reduction Reaction Sequence and an Asymmetric Hydrogenation to Enable the Kilogram Synthesis of ABBV-3748,10.1021/acs.oprd.2c00245,CC1C=CC2C(S(NC(C3C4C(=C(C5CCC5)C=CC=4OC)OCC3)=O)(=O)=O)=CC=CC=2N=1
"Improved Synthesis of the Selected Serine Protease uPA Inhibitor UAMC-00050, a Lead Compound for the Treatment of Dry Eye Disease",10.1021/acs.oprd.2c00244,CC(=O)NC1=CC=C(C=C1)OP(=O)(C(CC2=CC=C(C=C2)N=C(N)N)NC(=O)OCC3=CC=CC=C3)OC4=CC=C(C=C4)NC(=O)C
Practical Process for synthesizing<i>R</i>-Tetrahydropapaverine─A Key Intermediate of Cisatracurium Besylate (Nimbex),10.1021/acs.oprd.2c00243,COC1=C(C=C(C=C1)C[C@@H]2C3=CC(=C(C=C3CCN2)OC)OC)OC
Development of a Robust and Scalable Synthetic Route for a Potent and Selective Isoindolinone PI3Kγ Inhibitor,10.1021/acs.oprd.2c00240,CC(N1C(=O)C2C(=CC(C3C=CN4C(=C(C(NC5CCC(O)(C)CC5)=O)C(N)=N4)N=3)=CC=2OC(F)F)C1)C1CC1
"Efficient Process for Obeticholic Acid: Synthesis, Structural Assignment, and Control Strategy for Diastereoisomeric Impurities",10.1021/acs.oprd.2c00237,CC[C@@H]1[C@@H]2C[C@@H](CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3[C@@H]1O)CC[C@@H]4[C@H](C)CCC(=O)O)C)C)O
Development of an Efficient New Route to PPARδ Agonist Fonadelpar: Formation of the C–C Bond by Claisen Condensation,10.1021/acs.oprd.2c00235,CC1=CC2=C(C=C1OCC(=O)O)ON=C2CCC3=C(N=C(S3)C4=CC=C(C=C4)C(F)(F)F)C(C)C
Process Development and Optimization of Linagliptin Aided by the Design of Experiments (DoE),10.1021/acs.oprd.2c00230,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C
Direct Construction of Chiral Ether via Highly Efficient Heck Reaction and N-Directed Asymmetric Hydrogenation for Large-Scale Synthesis of MALT1 Inhibitor RGT-068A,10.1021/acs.oprd.2c00229,C[C@@H](C1=C(C=NN2C1=NC=C2)NC(=O)NC3=CC(=C(N=C3)N4N=CC=N4)Cl)OC
Optimized Synthesis of a Key Intermediate of Nirmatrelvir,10.1021/acs.oprd.2c00225,CC(OC(NC(C(N)=O)CC1C(=O)NCC1)=O)(C)C
"Scalable Process of Spiro(cyclopropane)oxazepane Pyridine Carboxylic Acid through Kulinkovich, Mitsunobu, and Pd-Catalyzed Intramolecular C–N Coupling",10.1021/acs.oprd.2c00221,C1C2(NC3C(=CC(C(O)=O)=CN=3)OCC2)C1
"Novel, Practical, and Efficient Process for the Preparation of 4,5-Dichloroindole",10.1021/acs.oprd.2c00212,C1=CC(=C(C2=C1NC=C2)Cl)Cl
Streamlined Synthesis of Aminoacridinium Photocatalysts with Improved Photostability,10.1021/acs.oprd.2c00209,C1C=C(N(C2C=CC=CC=2)C2C=CC(N(C3C=CC=CC=3)C3C=CC=CC=3)=CC=2Br)C(Br)=CC=1N(C1C=CC=CC=1)C1C=CC=CC=1
Development of a Robust and Scalable Process for the Large-Scale Preparation of Vilazodone,10.1021/acs.oprd.2c00206,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N
Refractive Index to Monitor Solid-Phase Oligonucleotide Synthesis,10.1021/acs.oprd.2c00203,CC1C(=O)NC(=O)N(C2OC(COP(OC3C(COP([S-])(OC4C(OC)C(N5C(=O)N=C(N)C=C5)OC4CO)=O)OC(N4C(=O)NC(=O)C(C)=C4)C3)([O-])=O)C(O)C2)C=1
Practical Asymmetric Synthesis of a Bicyclic Pyrrolidinol,10.1021/acs.oprd.2c00200,C1CN2C(CO)(CC(F)C2)C1
Advancing Scalable Chemistry toward Novel CELMoDs: Process Development for the Synthesis of CC-90009,10.1021/acs.oprd.2c00199,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)CNC(=O)C(C4=CC=C(C=C4)Cl)(F)F
Synthesis of MDM2-p53 Inhibitor BI-0282 via a Dipolar Cycloaddition and Late-Stage Davis–Beirut Reaction,10.1021/acs.oprd.2c00192,C1CC1CN2[C@H]3COC4=C5C=CC(=CC5=NN4[C@H]3[C@@H]([C@@]26C7=C(C=C(C=C7)Cl)NC6=O)C8=C(C(=CC=C8)Cl)F)C(=O)O
Manufacturing Process Development for Uprifosbuvir (MK-3682): A Green and Sustainable Process for Preparing Penultimate 2′-Deoxy-α-2′-Chloro-β-2′-Methyluridine,10.1021/acs.oprd.2c00191,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
Addition Reaction of Alcohol to Isocyanate Catalyzed by Copper Present in Tap Water: Robust Manufacturing Process of Naldemedine Tosylate,10.1021/acs.oprd.2c00187,CC(C)(C1=NC(=NO1)C2=CC=CC=C2)NC(=O)C3=C([C@H]4[C@@]56CCN([C@@H]([C@@]5(C3)O)CC7=C6C(=C(C=C7)O)O4)CC8CC8)O
Scalable Process of Methimazole,10.1021/acs.oprd.2c00185,CN1C=CNC1=S
Development of a Continuous Flow Synthesis of Lorazepam,10.1021/acs.oprd.2c00184,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
Efficient Synthesis of a Key Intermediate for Moxifloxacin Via Intramolecular Double Stereodifferentiation,10.1021/acs.oprd.2c00183,C1CNC2C(CNC2)C1
"Scalable Synthesis of CVN424, an Inverse Agonist of the GPR6 Receptor",10.1021/acs.oprd.2c00181,CC(=O)N1CCC2=C(C1)N=C(C(=N2)N3CCC(CC3)OC4=C(C=C(C=C4)F)F)N[C@@H]5CCOC5
"Axial Chirality in the Sotorasib Drug Substance, Part 1: Development of a Classical Resolution to Prepare an Atropisomerically Pure Sotorasib Intermediate",10.1021/acs.oprd.2c00176,CC(C1N=CC=C(C)C=1N1C(=O)NC(=O)C2C=C(F)C(Cl)=NC1=2)C
Transformation of the Manufacturing Process from Discovery to Kilogram Scale for AWZ1066S: A Highly Specific Anti-<i>Wolbachia</i> Drug Candidate for a Short-Course Treatment of Filariasis,10.1021/acs.oprd.2c00167,C1C=C2C(Cl)=NC(Cl)=NC2=NC=1
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C[C@@H]1[C@@H](CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C1[C@@H]2CNC[C@H]1C3=CC4=NC=CN=C4C=C23
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C1[C@H]2[C@@H]([C@H]2[C@@]([C@@H]1O)(C(=O)O)N)C(=O)O
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C1C[C@H](CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N
Synthesis and Applications of Periodate for Fine Chemicals and Important Pharmaceuticals,10.1021/acs.oprd.2c00161,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N
